,R32_pct,R16_pct,QF_pct,SF_pct,Final_pct,Winner_pct
England,97.71,93.75,52.6,34.08,24.5,20.0
France,99.22999999999999,95.41,45.82,29.549999999999997,20.979999999999997,16.939999999999998
Germany,94.76,89.62,52.7,19.939999999999998,12.97,9.93
Spain,95.81,88.72,51.66,33.489999999999995,12.139999999999999,8.98
Argentina,95.59,86.25,42.57,28.03,9.83,6.8500000000000005
Brazil,95.96000000000001,89.71000000000001,42.28,14.729999999999999,9.24,6.77
Morocco,93.87,75.6,43.1,23.419999999999998,13.52,4.73
Uruguay,90.16999999999999,71.65,39.019999999999996,22.91,14.74,4.42
Colombia,89.24,69.41000000000001,38.43,20.28,13.65,3.6900000000000004
Croatia,83.3,63.49,35.199999999999996,17.76,12.15,3.27
Portugal,89.69,75.27000000000001,44.09,17.57,4.9,3.1300000000000003
Austria,87.77000000000001,71.24000000000001,35.27,13.0,3.26,1.96
Belgium,87.99,60.8,34.86,19.939999999999998,8.57,1.87
Netherlands,84.95,60.49,32.47,18.83,8.34,1.8599999999999999
Ecuador,78.35,55.84,29.95,15.45,7.88,1.79
South Korea,85.37,53.05,26.279999999999998,12.509999999999998,4.71,0.8999999999999999
Mexico,87.38,46.52,23.47,10.03,3.7199999999999998,0.8099999999999999
Senegal,77.33,44.330000000000005,21.93,9.74,3.18,0.5700000000000001
Switzerland,82.25,25.790000000000003,11.01,4.81,1.59,0.24
Egypt,81.94,34.08,15.27,6.03,1.69,0.21
USA,88.53,27.62,11.51,4.6899999999999995,1.67,0.2
Ivory Coast,64.11,22.23,9.51,4.05,1.17,0.16999999999999998
Australia,79.12,19.36,6.819999999999999,2.52,0.9299999999999999,0.13
Tunisia,61.3,13.22,4.279999999999999,1.3599999999999999,0.42,0.12
Sweden,63.57000000000001,23.05,9.76,4.03,1.08,0.12
Saudi Arabia,70.86,27.11,11.84,4.71,1.29,0.12
Japan,63.28,13.350000000000001,4.06,1.1199999999999999,0.33999999999999997,0.05
Canada,83.13000000000001,16.12,4.5600000000000005,0.8999999999999999,0.27,0.05
Qatar,80.31,17.810000000000002,5.59,1.5599999999999998,0.54,0.04
Czechia,52.53,10.75,3.2800000000000002,0.8099999999999999,0.24,0.03
Ghana,51.67,10.85,3.4099999999999997,0.98,0.38999999999999996,0.02
Uzbekistan,47.75,4.279999999999999,0.69,0.12,0.02,0.01
Jordan,45.45,3.8899999999999997,0.64,0.09,0.01,0.01
Congo DR,41.660000000000004,3.5700000000000003,0.67,0.12,0.02,0.01
Panama,29.23,2.46,0.22999999999999998,0.02,0.0,0.0
South Africa,45.190000000000005,4.53,0.74,0.13,0.0,0.0
Curacao,31.05,2.88,0.61,0.12,0.01,0.0
Iraq,46.51,3.7600000000000002,0.76,0.11,0.0,0.0
Algeria,33.68,1.44,0.13999999999999999,0.0,0.0,0.0
Norway,32.59,3.09,0.67,0.15,0.02,0.0
Bosnia and Herzegovina,27.35,0.98,0.05,0.0,0.0,0.0
Cabo Verde,12.75,0.42,0.04,0.01,0.0,0.0
Haiti,39.17,3.47,0.75,0.12,0.0,0.0
Scotland,28.27,2.98,0.53,0.09,0.01,0.0
New Zealand,51.21,3.0700000000000003,0.26,0.02,0.0,0.0
Paraguay,58.199999999999996,2.79,0.37,0.03,0.01,0.0
Turkey,44.190000000000005,1.92,0.16999999999999998,0.04,0.0,0.0
Iran,48.68,1.9800000000000002,0.08,0.0,0.0,0.0
